2023-05-22 22:06:25 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5ed8e596, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@560a1e2e, org.springframework.security.web.context.SecurityContextHolderFilter@2143a911, org.springframework.security.web.header.HeaderWriterFilter@36baceba, org.springframework.web.filter.CorsFilter@783c5c8e, org.springframework.security.web.authentication.logout.LogoutFilter@1bb4e919, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@5e953ece, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@77dd0df3, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1d83740a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@59604b37, org.springframework.security.web.session.SessionManagementFilter@7c2a80f4, org.springframework.security.web.access.ExceptionTranslationFilter@149286e4, org.springframework.security.web.access.intercept.AuthorizationFilter@4f48f259]
2023-05-22 22:06:25 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-05-22 22:06:25 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-22 22:06:25 [restartedMain] INFO  mspessoas.MsPessoasApplication - Started MsPessoasApplication in 6.134 seconds (process running for 7.815)
2023-05-22 22:16:46 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-22 22:16:46 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-22 22:16:46 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-05-22 22:16:47 [http-nio-8080-exec-2] INFO  m.domain.service.PersonService - listing people...
2023-05-22 22:16:47 [http-nio-8080-exec-2] INFO  m.domain.service.PersonService - people listed...
2023-05-22 22:17:05 [http-nio-8080-exec-3] INFO  m.domain.service.PersonService - listing people...
2023-05-22 22:17:05 [http-nio-8080-exec-3] INFO  m.domain.service.PersonService - people listed...
2023-05-22 22:18:04 [http-nio-8080-exec-4] INFO  m.domain.service.PersonService - listing people...
2023-05-22 22:18:04 [http-nio-8080-exec-4] INFO  m.domain.service.PersonService - people listed...
2023-05-22 22:18:52 [http-nio-8080-exec-5] INFO  m.domain.service.PersonService - listing people...
2023-05-22 22:18:52 [http-nio-8080-exec-5] INFO  m.domain.service.PersonService - people listed...
